,race_id,Time,Status,Message
0,990,0 days 00:08:08.643000,2,Yellow
1,990,0 days 00:08:14.695000,1,AllClear
2,990,0 days 00:08:26.014000,2,Yellow
3,990,0 days 00:08:51.074000,1,AllClear
4,990,0 days 00:09:57.697000,2,Yellow
5,990,0 days 00:10:24.916000,1,AllClear
6,990,0 days 00:10:32.280000,2,Yellow
7,990,0 days 00:10:41.473000,6,VSCDeployed
8,990,0 days 00:14:18.149000,7,VSCEnding
9,990,0 days 00:14:28.726000,1,AllClear
10,990,0 days 00:16:12.118000,2,Yellow
11,990,0 days 00:16:52.560000,1,AllClear
12,990,0 days 00:16:54.296000,2,Yellow
13,990,0 days 00:17:03.081000,1,AllClear
14,990,0 days 00:24:49.514000,2,Yellow
15,990,0 days 00:25:07.399000,1,AllClear
16,990,0 days 00:51:26.333000,2,Yellow
17,990,0 days 00:51:37.393000,1,AllClear
18,990,0 days 01:12:30.099000,2,Yellow
19,990,0 days 01:12:43.186000,1,AllClear
