,Race Id,Year,GP,Number of Red Flags,Number of Safety cars deployed
0,989,2018,1,0,1
0,990,2018,2,0,0
0,991,2018,3,0,1
0,992,2018,4,0,2
0,993,2018,5,0,1
0,994,2018,6,0,0
0,995,2018,7,0,1
0,996,2018,8,0,1
0,997,2018,9,0,0
0,998,2018,10,0,2
0,999,2018,11,0,1
0,1000,2018,12,0,0
0,1001,2018,13,0,1
0,1002,2018,14,0,1
0,1003,2018,15,0,1
0,1004,2018,16,0,0
0,1005,2018,17,0,1
0,1006,2018,18,0,0
0,1007,2018,19,0,0
0,1008,2018,20,0,0
0,1009,2018,21,0,1
0,1010,2019,1,0,0
0,1011,2019,2,0,1
0,1012,2019,3,0,0
0,1013,2019,4,0,0
0,1014,2019,5,0,1
0,1015,2019,6,0,1
0,1016,2019,7,0,0
0,1017,2019,8,0,0
0,1018,2019,9,0,0
0,1019,2019,10,0,1
0,1020,2019,11,0,4
0,1021,2019,12,0,0
0,1022,2019,13,0,1
0,1023,2019,14,0,0
0,1024,2019,15,0,3
0,1025,2019,16,0,2
0,1026,2019,17,0,0
0,1027,2019,18,0,0
0,1028,2019,19,0,0
0,1029,2019,20,0,2
0,1030,2019,21,0,0
0,1031,2020,1,0,3
0,1032,2020,2,0,1
0,1033,2020,3,0,0
0,1034,2020,4,0,2
0,1035,2020,5,0,0
0,1036,2020,6,0,0
0,1037,2020,7,0,1
0,1038,2020,8,1,2
0,1039,2020,9,2,3
0,1040,2020,10,0,1
0,1041,2020,11,0,1
0,1042,2020,12,0,0
0,1043,2020,13,0,1
0,1044,2020,14,0,0
0,1045,2020,15,1,2
0,1046,2020,16,0,2
0,1047,2020,17,0,1
0,1048,2021,1,0,1
0,1049,2021,2,1,2
0,1050,2021,3,0,1
0,1051,2021,4,0,1
0,1052,2021,5,0,0
0,1053,2021,6,1,2
0,1054,2021,7,0,0
0,1055,2021,8,0,0
0,1056,2021,9,0,1
0,1057,2021,10,1,1
0,1058,2021,11,1,1
0,1059,2021,12,2,0
0,1060,2021,13,0,0
0,1061,2021,14,0,1
0,1062,2021,15,0,0
0,1063,2021,16,0,0
0,1064,2021,17,0,0
0,1065,2021,18,0,1
0,1066,2021,19,0,1
0,1067,2021,20,0,0
0,1068,2021,21,2,1
0,1069,2021,22,0,1
